scenario,final_population,final_population_std,total_births,total_births_std,total_deaths,total_deaths_std,total_conflicts,total_conflicts_std,resource_gini,resource_gini_std,reproductive_skew,reproductive_skew_std,violence_rate,violence_rate_std,violence_death_frac,violence_death_frac_std,pair_bonded_pct,pair_bonded_pct_std,unmated_male_pct,unmated_male_pct_std,avg_lifetime_births,avg_lifetime_births_std,child_survival,child_survival_std,bond_dissolution,bond_dissolution_std,avg_lifespan,avg_lifespan_std,pop_growth_rate,pop_growth_rate_std,avg_cooperation,avg_cooperation_std,avg_aggression,avg_aggression_std,avg_intelligence,avg_intelligence_std,law_strength,law_strength_std,civilization_stability,civilization_stability_std,social_cohesion,social_cohesion_std,n_survived,n_seeds
FREE_COMPETITION,607.2,284.14601880019364,6346.1,1749.9816827612794,5989.0,1442.907897268568,2551.9,803.5724547295035,0.3279874793467347,0.010187742304195786,0.4584941879550647,0.020680416911682695,0.018013728144181985,0.00422679303655244,0.05532817533683774,0.007113605425444783,0.3719747247637094,0.020761363232024575,0.2845433975945764,0.04322264175292816,3.764444778884046,0.36949352135528635,0.6482974497257871,0.019167155656893555,0.10812021085105403,0.007938227902463131,18.607679017121658,1.1864956066819243,0.0033811896914463235,0.008216537905326907,0.5185615482249196,0.015259829679738567,0.4787680022131638,0.021375826630054637,0.5609479444004462,0.011355508021185155,0.4812716421744797,0.02878185366083981,0.7655119793425447,0.014600062055408126,0.5650986127770388,0.00877509034972592,10,10
NO_INSTITUTIONS,527.2,338.42186690578967,6475.8,1117.7578270806248,6203.0,848.9270875640616,2892.4,834.0845520689135,0.31187515328347315,0.009434740253543133,0.46446414311917533,0.021669084100438805,0.022199642987879586,0.004009270682810851,0.06100180993222868,0.012050255277084882,0.3694693413079212,0.017620197318617314,0.28562996747564334,0.03798374092458004,3.7472943745705805,0.3565775786265599,0.6648032938951044,0.028975392893004246,0.10436099232919308,0.0049681075075394664,18.389449102782542,0.9629148567083637,0.006522102549437188,0.013801643115307476,0.5262713271450914,0.01218977041380121,0.4789810028628113,0.021482587325513697,0.5525632878240575,0.014243981823047347,0.0,0.0,0.7605267311594381,0.014053476066258458,0.5620732465809595,0.007530013156213601,10,10
ENFORCED_MONOGAMY,557.2,176.33139255390685,6439.0,1301.2709940669545,6176.9,1155.8787522919522,1517.7,402.7301950437787,0.3307549259685487,0.013253324988293218,0.3946942602230729,0.021121481364945273,0.009666272239608507,0.0021722886611603323,0.0313359516389066,0.003899905900618559,0.41509513519881747,0.014608524968573601,0.12666022112039327,0.056402644117402506,3.9571879639107883,0.30019629010373466,0.6697548677364334,0.023028407225750214,0.11166885101563843,0.0033178402189656957,18.820544540985413,0.8161966516199913,0.00031131599230951705,0.006425357322708516,0.5162334632317545,0.020889173844697496,0.47281726680579067,0.017882350414491238,0.5537173789999638,0.02078861422947869,0.9263893630359539,0.015246941760917345,0.7771067095734355,0.016601696229300078,0.5896938423127772,0.00994400041408869,10,10
ELITE_POLYGYNY,434.2,195.10961021948663,6028.7,1695.5849757532058,5861.9,1557.4926291960421,2349.9,832.2925507296097,0.3900177635677577,0.008329176457591363,0.4464355921106816,0.0131380710585261,0.016415346619665865,0.004657163438002567,0.050843813784433534,0.008451937466116187,0.37426346647443953,0.02879171670089711,0.2805874522408941,0.04559444598369264,3.985337948583787,0.4081568351898367,0.6667127440031249,0.03539135061245854,0.10506095446207528,0.007187139269736646,18.70752074370287,2.140820990589654,-0.0005667840041172758,0.018821724502034065,0.517121334195878,0.02125138829073713,0.4673801553952283,0.021852845016378606,0.5581560528112609,0.022808966852893325,0.4821402684364745,0.046376219719653757,0.7541464108820254,0.017247090971486603,0.5673215636698228,0.009750817797502535,10,10
HIGH_FEMALE_CHOICE,545.6,244.65780183758702,6780.9,1239.9083393541637,6471.7,1173.4478301143174,2552.0,675.0988075830086,0.32616842625924475,0.010920485211103975,0.47954702855582704,0.013767650681959847,0.017427943060195312,0.0060173007745641365,0.04886248167331303,0.008591642758340925,0.36949895235282976,0.021989542685183334,0.28421132233960505,0.03168395423334395,3.8040669116000303,0.3972323146196127,0.66926716537333,0.02417681000147666,0.10218481228020208,0.004381594430460842,18.661138920708154,1.449442416272039,0.00351354618583504,0.0174920771154458,0.5170954918998278,0.02046648020898477,0.4612464483134211,0.01452507245048423,0.5618310183674371,0.010118280508937812,0.4922699576863736,0.04332739344550896,0.7630851626507547,0.020785958745234825,0.5643779012581774,0.009103033495876241,10,10
RESOURCE_ABUNDANCE,860.9,390.04472820434324,8934.8,1098.7844920638443,8238.2,1238.0515175064404,2648.7,389.03368748734346,0.32317935237206374,0.0121700501867757,0.4688934192150107,0.011635197259663686,0.015194497977022436,0.0022307176531847954,0.042225580364889846,0.003531319803358826,0.36355503673793993,0.015621893806124613,0.2814167295944459,0.020556673259947634,3.981176380064923,0.24684341483487804,0.6890120489988071,0.01256600904150344,0.1016585551484793,0.004881045593246802,18.04683291824714,0.9560301729897636,0.0018086250818526658,0.013458585782084621,0.5079057926750992,0.019096479134516692,0.47460882074660826,0.014732099951033433,0.5588311994496638,0.023470643740622636,0.4813205996962231,0.043227417288424747,0.7690590940131702,0.015065454046899069,0.5614134574570405,0.009683050688373546,10,10
RESOURCE_SCARCITY,65.5,65.6387842666209,2198.0,921.2193007096628,2544.5,825.3966622176273,1338.9,519.0682903048499,0.2897853914312563,0.017604523565451138,0.44648088894554394,0.04639859058894032,0.0202534042541193,0.006220670754677224,0.06902800768447434,0.011131846095306293,0.3875011333136044,0.02506408464016639,0.333678169539068,0.1313156313998789,3.254637556608634,0.4767049749367604,0.5794116018277514,0.038951972405064456,0.1006086712353155,0.008802649796748838,16.888704991607497,2.736255969446696,-0.0005666237583704023,0.015270206214555979,0.5105345256850808,0.053587568931806454,0.47911610521469133,0.04029822472413328,0.5527490022801141,0.04882488811487253,0.47532114956276955,0.06455079389621882,0.7141271311629022,0.02494701562206918,0.5645224516161448,0.02186605614221709,10,10
HIGH_VIOLENCE_COST,26.7,3.0675723300355937,1120.0,238.08737891790904,1664.4,218.30858892860815,511.4,86.3958332328591,0.3342456352612442,0.01688622166314477,0.39320287647598706,0.04347237425870876,0.021015120417124254,0.010880918837897336,0.05107882949340584,0.0023293627893816345,0.3558834035829126,0.025599705021124883,0.19424518999518997,0.12118856514092236,3.2147352092352093,0.43407875131131174,0.6548411514556453,0.022828305124439133,0.06044533246643774,0.00790464055510578,15.384953102453101,1.5099174491584624,0.012526997394091402,0.013138245851293015,0.5123137156761823,0.06362652732140985,0.5161842462641005,0.07725435832965058,0.5828430773195686,0.053995870366532354,0.47486827747372057,0.07490362621875268,0.6931485961162819,0.038627227874463904,0.553215777003087,0.0348237738566347,10,10
STRONG_PAIR_BONDING,562.1,173.0649877936031,6087.6,1692.8707688420875,5823.8,1618.7718678059612,1824.1,571.6174332540952,0.3085845339227987,0.009160672515576758,0.4586230819729544,0.018820367871970615,0.012098873796088733,0.00232386073405711,0.04126230985785985,0.0033097065685364596,0.36775829174847385,0.01525572523892078,0.27598786274370796,0.03769266047704164,4.119193162971518,0.2972680247958659,0.6683088985635391,0.023279241745276357,0.09397436345030999,0.006101014105424423,18.118162297258486,1.6752671288881666,0.012131372314318666,0.010066152893114615,0.5124657559395595,0.021536076521042075,0.4772252161608533,0.01985943632736509,0.5625445630464572,0.012406700424854112,0.49920693033385427,0.026295570365349435,0.781128949051881,0.014971575739480835,0.5685781122426787,0.00893084306573671,10,10
STRONG_STATE,670.7,166.55692720508506,6911.1,946.3390988435383,6560.5,877.1816516548896,1238.8,157.97961893864664,0.20047552884038405,0.009270713794426767,0.3802236587256186,0.014922653031302566,0.00786154273948694,0.0019003084172394375,0.0235794639580921,0.002645215403309617,0.4166168729688139,0.019857753878265806,0.0949853458869834,0.05293076159696988,3.9438624880497555,0.3107553059358928,0.6694577986394041,0.018334261233654496,0.10745487631685302,0.006277325433835262,18.80966365127377,1.3910668874923724,0.006389590264105826,0.010696099814370095,0.509810153802354,0.02128488125881933,0.48063990274999335,0.012335766396593333,0.5445015451889905,0.01839390215815341,0.9847663807457568,0.013167339033407015,0.8118007110962564,0.010680335782856126,0.5899130386356678,0.011173382034349276,10,10
EMERGENT_INSTITUTIONS,775.9,198.4204878534472,6716.0,1005.1529236887291,6199.9,923.1793379403592,2031.5,307.8847998846322,0.3319779055140942,0.006057408623167714,0.46513437620523995,0.01995230130426551,0.00948744061986766,0.0021202076134023353,0.04154084290939458,0.0036810715827501933,0.3570698312028149,0.016718704467313588,0.280641540156333,0.03495026522986305,4.145599470980956,0.24534900334127638,0.6756969559622441,0.011792270782544348,0.10364381428567859,0.005822256992679112,17.813844314727966,1.7847673614075201,0.01631558040929708,0.010786071200418797,0.5153087987760467,0.021276751471818078,0.469348733787838,0.014606220863828063,0.5625912061423007,0.013249636610689697,0.8454096770463833,0.05677027490003176,0.7826761642271488,0.009913398529444914,0.5692386596565693,0.010936354391488557,10,10
