seed,year,coop_free,coop_state,divergence,free_bands_alive,state_bands_alive,total_bands,total_pop,fst_coop,demographic_sel,raid_sel,between_sel,violence_rate
42,50,0.4047423597953712,0.48180254641613274,-0.07706018662076153,2,20,22,705,0.320067,-0.021859703460196958,0.1674730753940819,0.07280668596694248,0.02109704641350211
42,100,0.4047423597953712,0.48180254641613274,-0.07706018662076153,2,20,22,839,0.335027,-0.021230196264908414,0.16133108632603033,0.07005044503056096,0.021150033046926635
42,150,0.4047423597953712,0.48180254641613274,-0.07706018662076153,2,20,22,990,0.31982,-0.055754226915404076,0.007660435888408399,-0.02404689551349784,0.02271714922048998
42,200,0.4047423597953712,0.48180254641613274,-0.07706018662076153,2,20,22,1175,0.398942,0.08961997800965779,0.041801695549867283,0.06571083677976254,0.02206124464932499
137,50,0.41261771659641305,0.5061042282089092,-0.09348651161249616,3,19,22,673,0.38692,-0.047658905045952465,-0.12305288261579961,-0.08535589383087604,0.021573604060913704
137,100,0.41261771659641305,0.5061042282089092,-0.09348651161249616,3,19,22,762,0.465736,-0.19752640524784892,0.37814389404746046,0.09030874439980577,0.02194964493221433
137,150,0.41261771659641305,0.5061042282089092,-0.09348651161249616,3,19,22,825,0.560516,-0.23525505111331932,-0.10684382505205516,-0.17104943808268724,0.023645743766122097
137,200,0.41261771659641305,0.5061042282089092,-0.09348651161249616,3,19,22,1059,0.576945,-0.013112862363903313,-0.03975969717705885,-0.026436279770481082,0.026145900581020013
271,50,0.39774564241682286,0.5002528757248068,-0.10250723330798395,3,17,20,783,0.19986,0.13566925937411756,0.000753542214873823,0.0682114007944957,0.019206145966709345
271,100,0.39774564241682286,0.5002528757248068,-0.10250723330798395,3,17,20,879,0.321024,-0.007593461412872184,-0.09479835693011707,-0.05119590917149462,0.02059202059202059
271,150,0.39774564241682286,0.5002528757248068,-0.10250723330798395,3,17,20,1063,0.361714,-0.1869016602772025,-0.3032188340125368,-0.24506024714486965,0.0196078431372549
271,200,0.39774564241682286,0.5002528757248068,-0.10250723330798395,3,17,20,1108,0.501604,0.21048996501187414,0.08236351920240521,0.14642674210713968,0.02050580997949419
512,50,0.4254851021638453,0.527719058221181,-0.10223395605733576,3,18,21,745,0.365663,0.0688650953437749,-0.10629231539708699,-0.018713610026656044,0.0196078431372549
512,100,0.4254851021638453,0.527719058221181,-0.10223395605733576,3,18,21,938,0.495264,0.1358114795287243,-0.19855101589193866,-0.03136976818160718,0.02014294996751137
512,150,0.4254851021638453,0.527719058221181,-0.10223395605733576,3,18,21,1215,0.54865,0.043385604467042656,0.18067450005099758,0.11203005225902012,0.02198768689533861
512,200,0.4254851021638453,0.527719058221181,-0.10223395605733576,3,18,21,1385,0.581851,-0.1414782254888976,0.22648036247240708,0.04250106849175474,0.024820378837361202
999,50,0.4114916180975684,0.5365286244279095,-0.1250370063303411,2,22,24,731,0.230052,0.1015712629154993,0.12478666963640747,0.11317896627595339,0.027093596059113302
999,100,0.4114916180975684,0.5365286244279095,-0.1250370063303411,2,22,24,818,0.405172,0.16594357981400312,-0.03187145945199506,0.06703606018100403,0.020552344251766216
999,150,0.4114916180975684,0.5365286244279095,-0.1250370063303411,2,22,24,1181,0.525152,-0.016188136059366087,0.01085139878196692,-0.0026683686386995836,0.021422450728363324
999,200,0.4114916180975684,0.5365286244279095,-0.1250370063303411,2,22,24,1620,0.552357,-0.07828464119771836,0.07610542404344356,-0.0010896085771373992,0.02032150439793752
1337,50,0.41281414058719434,0.4999715761962441,-0.08715743560904976,2,20,22,647,0.262048,-0.27194128321804684,-0.10119829206207298,-0.1865697876400599,0.027577937649880094
1337,100,0.41281414058719434,0.4999715761962441,-0.08715743560904976,2,20,22,791,0.439652,0.06166705952013048,-0.008666844430690778,0.026500107544719848,0.021628498727735368
1337,150,0.41281414058719434,0.4999715761962441,-0.08715743560904976,2,20,22,1089,0.519354,0.052167584167363425,-0.027759587141453573,0.012203998512954926,0.017566409597257925
1337,200,0.41281414058719434,0.4999715761962441,-0.08715743560904976,2,20,22,1270,0.497566,0.10126170118031129,0.036211079868117564,0.06873639052421443,0.018454801376290273
