year,coop_all,between_group_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed,raid_base_probability,coop_mean
100,0.4972063305602872,-0.11822858161938181,-0.01964657233078843,0.133959,0.087973,0.0,0.0,0.0,0.0,0.04698360680867871,0.16905,0.04109621414245934,243.0,42,0.1,0.4972063305602872
200,0.4988440609152897,0.1377633346553489,0.04600250415113,0.125888,0.152331,0.0,0.0,0.8898878744046146,0.8898878744046146,0.03032029888141091,0.0988,0.11189847064308567,157.0,42,0.1,0.4988440609152897
100,0.4706054895883191,-0.1371408868769756,0.04972390842884291,0.206187,0.375862,0.0,0.0,1.887681864342817,1.887681864342817,0.0997539859672638,0.26314999999999994,0.04693426364650066,234.0,137,0.1,0.4706054895883191
200,0.48902799611341624,-0.29007645774262797,0.017911980509543513,0.208955,0.344792,0.0,0.005714285714285714,0.0,0.0,0.1159544459216992,0.30772000000000005,0.07966724943345183,330.0,137,0.1,0.48902799611341624
100,0.4463251744057529,0.6113984019273576,0.14136840610399287,0.075779,0.188882,0.0,0.012345679012345678,2.0007903891264367,2.0007903891264367,0.08275456499572302,0.24455000000000002,0.0897470704850516,220.0,271,0.1,0.4463251744057529
200,0.4501565964651186,-0.4323938164005394,0.08311094062233046,0.215998,0.380117,0.0,0.006369426751592357,0.0,0.0,0.08173377784600823,0.20659999999999998,0.10507322453047752,320.0,271,0.1,0.4501565964651186
100,0.4972063305602872,-0.11822858161938181,-0.01964657233078843,0.133959,0.087973,0.0,0.0,0.0,0.0,0.04698360680867871,0.16905,0.04109621414245934,243.0,42,0.3,0.4972063305602872
200,0.4966150976268524,0.11648090350013421,0.07405611960422705,0.124541,0.159815,0.0,0.007407407407407408,0.0,0.0,0.02997282213633819,0.07403333333333333,0.041970140735070105,132.0,42,0.3,0.4966150976268524
100,0.4706054895883191,-0.1371408868769756,0.04972390842884291,0.206187,0.375862,0.0,0.0,1.887681864342817,1.887681864342817,0.0997539859672638,0.26314999999999994,0.04693426364650066,234.0,137,0.3,0.4706054895883191
200,0.49241047862866555,0.3705440152631474,-0.0068830692058250206,0.249647,0.427441,0.0,0.017045454545454544,0.0,0.0,0.0940306053648858,0.28323,0.04837131267943939,369.0,137,0.3,0.49241047862866555
100,0.4465622997635219,0.6338672514145747,0.14083237246057143,0.077701,0.18999,0.5,0.024390243902439025,1.8322941945849833,1.8322941945849833,0.08247373800482061,0.21581666666666663,0.09202487013992133,217.0,271,0.3,0.4465622997635219
200,0.4286161102806341,0.5458386741291716,0.07062227316158562,0.197821,0.191091,0.0,0.01818181818181818,0.0,0.0,0.10146859200258576,0.19884999999999997,0.01656737124080543,207.0,271,0.3,0.4286161102806341
100,0.4972063305602872,-0.11822858161938181,-0.01964657233078843,0.133959,0.087973,0.0,0.0,0.0,0.0,0.04698360680867871,0.16905,0.04109621414245934,243.0,42,0.5,0.4972063305602872
200,0.4966150976268524,0.11648090350013421,0.07405611960422705,0.124541,0.159815,0.0,0.007407407407407408,0.0,0.0,0.02997282213633819,0.07403333333333333,0.041970140735070105,132.0,42,0.5,0.4966150976268524
100,0.464881973430594,0.3575504633260146,0.09384529037326692,0.205447,0.417173,0.0,0.011627906976744186,0.0,0.0,0.09858231377269604,0.22468333333333332,0.03386477923514919,210.0,137,0.5,0.464881973430594
200,0.47146988599434114,0.15213504264470928,-0.024534726799899757,0.325923,0.296231,0.0,0.0056179775280898875,0.0,0.0,0.0801569192202979,0.22831666666666664,0.04411291502910908,153.0,137,0.5,0.47146988599434114
100,0.4465622997635219,0.6338672514145747,0.14083237246057143,0.077701,0.18999,0.5,0.024390243902439025,1.8322941945849833,1.8322941945849833,0.08247373800482061,0.21581666666666663,0.09202487013992133,217.0,271,0.5,0.4465622997635219
200,0.4286161102806341,0.5458386741291716,0.07062227316158562,0.197821,0.191091,0.0,0.01818181818181818,0.0,0.0,0.10146859200258576,0.19884999999999997,0.01656737124080543,207.0,271,0.5,0.4286161102806341
100,0.49902945029763635,0.21697138863391988,-0.11939192320308237,0.152107,0.103656,0.0,0.014705882352941176,0.0,0.0,0.04734259496243855,0.15841666666666665,0.03573434550593935,255.0,42,0.7,0.49902945029763635
200,0.4699850051751331,-0.001433763454289222,0.07897632491967281,0.265726,0.178613,0.0,0.046153846153846156,0.0,0.0,0.026828835773940685,0.03858333333333333,0.06179700520621734,204.0,42,0.7,0.4699850051751331
100,0.464881973430594,0.3575504633260146,0.09384529037326692,0.205447,0.417173,0.0,0.011627906976744186,0.0,0.0,0.09858231377269604,0.22468333333333332,0.03386477923514919,210.0,137,0.7,0.464881973430594
200,0.47146988599434114,0.15213504264470928,-0.024534726799899757,0.325923,0.296231,0.0,0.0056179775280898875,0.0,0.0,0.0801569192202979,0.22831666666666664,0.04411291502910908,153.0,137,0.7,0.47146988599434114
100,0.4465622997635219,0.6338672514145747,0.14083237246057143,0.077701,0.18999,0.5,0.024390243902439025,1.8322941945849833,1.8322941945849833,0.08247373800482061,0.21581666666666663,0.09202487013992133,217.0,271,0.7,0.4465622997635219
200,0.4286161102806341,0.5458386741291716,0.07062227316158562,0.197821,0.191091,0.0,0.01818181818181818,0.0,0.0,0.10146859200258576,0.19884999999999997,0.01656737124080543,207.0,271,0.7,0.4286161102806341
