year,coop_Free,coop_State,between_group_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed,fission_threshold,n_bands
100,nan,0.48118042901526276,0.12862945563125253,0.13725792811545337,0.250816,0.149812,0.0,0.037037037037037035,9.747978488812258,9.747978488812258,0.03873805587378469,0.2870933333333333,0.06636259736542849,241.0,42,75,6
200,nan,0.4871428061730826,-0.021634724468906102,-0.07251957202706501,0.351921,0.214561,0.0,0.0109204368174727,39.38455603808134,39.38455603808134,0.17244656503295766,0.3251418181818181,0.08890458964597947,504.0,42,75,11
100,0.5815400473883343,0.4649607818702955,-0.1298407735421917,0.0945779089673285,0.17203,0.28545,0.0,0.009216589861751152,30.664834073307603,30.664834073307603,0.4471206328239242,0.30852,0.06692356819505663,272.0,137,75,6
200,0.5924813304616675,0.4644063095616794,-0.05654706548264602,0.046350943372783254,0.303134,0.327608,0.0,0.00963855421686747,50.807060962508544,50.807060962508544,0.45017730660798505,0.3407388888888889,0.0918299734995307,328.0,137,75,9
100,0.43968404866709343,0.4592873207578474,0.29945939140196987,-0.14373722063843847,0.197371,0.269568,0.0,0.012345679012345678,0.0,0.0,0.10035261364555528,0.26380000000000003,0.05157509333641386,206.0,271,75,4
200,0.38563323573276653,nan,-0.11585046486405362,-0.0021203181072399807,0.237842,0.271116,0.0,0.009925558312655087,25.621942899949154,25.621942899949154,0.3062825212232279,0.3402333333333334,0.06070436903964205,325.0,271,75,7
100,0.45104851310795624,0.48118042901526276,-0.14161365503416706,0.02362130969113405,0.213736,0.104213,0.0,0.06756756756756757,0.0,0.0,0.056975057615849804,0.12308333333333334,0.0423197205868211,250.0,42,150,4
200,0.45028634023292047,0.498962957582005,0.0034147123560615,0.06029348831966841,0.133963,0.042962,0.0,0.07142857142857142,0.0,0.0,0.023169730083379605,0.18894000000000002,0.08469662803872224,335.0,42,150,5
100,0.502457445971509,0.5253395479354284,0.22913592409257605,-0.006303093582737573,0.13016,0.208139,0.0,0.011363636363636364,3.383064287523778,3.383064287523778,0.0831534881584023,0.24388333333333334,0.06131011867721492,242.0,137,150,4
200,0.510013266538537,0.5097028770241717,0.16442569291699285,0.022575511435186407,0.191846,0.280872,0.0,0.008620689655172414,0.0,0.0,0.2701707525402547,0.29258,0.030936952887884228,355.0,137,150,5
100,0.43968404866709343,0.4592873207578474,0.29945939140196987,-0.14373722063843847,0.197371,0.269568,0.0,0.012345679012345678,0.0,0.0,0.10035261364555528,0.26380000000000003,0.05157509333641386,206.0,271,150,4
200,0.37416937487584906,0.4405996631183552,-0.017314483271159947,0.08751770516540987,0.269318,0.28841,0.0,0.0106951871657754,0.0,0.0,0.07983027229360759,0.29947,0.08420115694465635,342.0,271,150,5
100,0.45104851310795624,0.48118042901526276,-0.14161365503416706,0.02362130969113405,0.213736,0.104213,0.0,0.06756756756756757,0.0,0.0,0.056975057615849804,0.12308333333333334,0.0423197205868211,250.0,42,300,4
200,0.45028634023292047,0.4850091590739205,0.027073327981885997,0.04332712919490365,0.166359,0.047323,0.0,0.06382978723404255,0.0,0.0,0.03927222171221568,0.08848333333333332,0.04186945856900404,267.0,42,300,4
100,0.502457445971509,0.5253395479354284,0.22913592409257605,-0.006303093582737573,0.13016,0.208139,0.0,0.011363636363636364,3.383064287523778,3.383064287523778,0.0831534881584023,0.24388333333333334,0.06131011867721492,242.0,137,300,4
200,0.5231381635859014,0.5459155200868068,-0.5171319339242908,-0.01941001180786109,0.143465,0.166278,0.0,0.011764705882352941,0.0,0.0,0.09054287012492813,0.22345,0.07490171700938908,380.0,137,300,4
100,0.43968404866709343,0.4592873207578474,0.29945939140196987,-0.14373722063843847,0.197371,0.269568,0.0,0.012345679012345678,0.0,0.0,0.10035261364555528,0.26380000000000003,0.05157509333641386,206.0,271,300,4
200,0.4281896001672535,0.43591017554113176,0.02426767259453623,0.136812617214544,0.220901,0.242848,0.0,0.011834319526627219,0.0,0.0,0.10206212158119134,0.23455,0.06290911531903198,383.0,271,300,4
