year,coop_Free,coop_State,between_group_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed,migration_rate
100,0.49731935656145676,0.5018142018160662,0.13012778092457994,-0.00284001753975752,0.194307,0.265631,0.0,0.0547945205479452,0.0,0.0,0.05229082164335654,0.13553333333333334,0.07090502125440468,227.0,42,0.001
200,0.4791705543580821,nan,0.1785832965166777,0.009129696373602251,0.227613,0.380108,0.0,0.03076923076923077,0.0,0.0,0.2662849717832535,0.2918733333333334,0.06612807849098457,412.0,42,0.001
100,0.5164247309119128,0.5182196060579943,0.1286514937615727,-0.06376583225924853,0.158124,0.0316,0.0,0.0,0.0,0.0,0.07334312827604192,0.26180000000000003,0.10957959726580113,173.0,137,0.001
200,0.5328583193159291,0.5311821129929233,0.3575938667084156,-0.08483305466790864,0.19373,0.042509,0.0,0.012422360248447204,0.0,0.0,0.11287142570920551,0.2552166666666667,0.06907537532282815,168.0,137,0.001
100,0.4461880646844723,0.4534876129223082,-0.1902533401349584,-0.1932239084646332,0.203057,0.230541,1.0,0.036585365853658534,0.0,0.0,0.10669814585810149,0.20588333333333333,0.0285501257003844,176.0,271,0.001
200,0.4423562588809924,0.44930739813944665,-0.36877673507093606,-0.037607444934400755,0.235075,0.255613,0.0,0.029940119760479042,0.0,0.0,0.09714267162228439,0.19993333333333332,0.038003273778365765,223.0,271,0.001
100,0.49731935656145676,0.5018142018160662,0.13012778092457994,-0.00284001753975752,0.194307,0.265631,0.0,0.0547945205479452,0.0,0.0,0.05229082164335654,0.13553333333333334,0.07090502125440468,227.0,42,0.005
200,0.4791705543580821,nan,0.1785832965166777,0.009129696373602251,0.227613,0.380108,0.0,0.03076923076923077,0.0,0.0,0.2662849717832535,0.2918733333333334,0.06612807849098457,412.0,42,0.005
100,0.5164247309119128,0.5182196060579943,0.1286514937615727,-0.06376583225924853,0.158124,0.0316,0.0,0.0,0.0,0.0,0.07334312827604192,0.26180000000000003,0.10957959726580113,173.0,137,0.005
200,0.5284688286224246,0.527710153073001,0.38421874872368483,0.03612061163919568,0.25029,0.238037,0.0,0.0125,0.0,0.0,0.11789298490760672,0.248,0.07270508152624888,171.0,137,0.005
100,0.43730181390359435,0.4493594952910952,0.38386626072272473,-0.20404436288327943,0.201916,0.236031,0.0,0.012345679012345678,0.0,0.0,0.10883955466992433,0.26665,0.05505231743440109,185.0,271,0.005
200,0.458922306861379,0.45636632148604817,-0.4141540541403198,-0.03600442150621459,0.20882,0.305637,0.0,0.012345679012345678,0.0,0.0,0.11637528455233202,0.24591666666666667,0.04778374468272739,179.0,271,0.005
100,0.49731935656145676,0.5018142018160662,0.13012778092457994,-0.00284001753975752,0.194307,0.265631,0.0,0.0547945205479452,0.0,0.0,0.05229082164335654,0.13553333333333334,0.07090502125440468,227.0,42,0.01
200,0.4953646354929583,0.4570359725829949,-0.0352015456926128,-0.07687040875604333,0.146041,0.298657,0.0,0.04790419161676647,0.0,0.0,0.055285173687588084,0.19312999999999997,0.09010850136007242,478.0,42,0.01
100,0.5164247309119128,0.5182196060579943,0.1286514937615727,-0.06376583225924853,0.158124,0.0316,0.0,0.0,0.0,0.0,0.07334312827604192,0.26180000000000003,0.10957959726580113,173.0,137,0.01
200,0.5325730031810425,0.5456626627362926,0.2723254549012742,0.09012547168621876,0.226707,0.04502,0.0,0.0,0.0,0.0,0.11254744280811396,0.29495,0.05935030014951037,213.0,137,0.01
100,0.43730181390359435,0.4493594952910952,0.38386626072272473,-0.20404436288327943,0.201916,0.236031,0.0,0.012345679012345678,0.0,0.0,0.10883955466992433,0.26665,0.05505231743440109,185.0,271,0.01
200,0.42881856841492183,0.4567515621454751,0.14353878281782592,0.07418929155895868,0.280437,0.202165,0.0,0.012345679012345678,0.0,0.0,0.1106395183085434,0.24556666666666668,0.022006732501797188,269.0,271,0.01
100,0.4554162831813373,0.5078685283509523,0.40715249637576323,-0.014544951963539034,0.198135,0.147549,0.0,0.0547945205479452,0.0,0.0,0.057712467445368745,0.16710000000000003,0.11789131796048613,183.0,42,0.05
200,0.40729710688366705,0.5361911935843848,-0.10769298845618165,0.010712708513957482,0.422047,0.616812,0.0,0.03496503496503497,0.0,0.0,0.04195775167962719,0.10601666666666665,0.05009411835437727,191.0,42,0.05
100,0.49092081935127396,0.5431969630599345,0.7371429749196949,0.02048037156343669,0.190021,0.333348,0.0,0.0125,0.0,0.0,0.053148526112043765,0.1869333333333333,0.02406579597313252,290.0,137,0.05
200,0.4856588697655471,0.5668600766770701,0.4574461355483004,-0.040223653917013866,0.25157,0.401681,0.0,0.025157232704402517,0.0,0.0,0.02725865851221235,0.23071000000000003,0.13693094510310022,360.0,137,0.05
100,0.49599285479422695,0.43105161327301944,-0.2962836656016595,-0.05086518700681789,0.208684,0.318362,0.0,0.022988505747126436,0.0,0.0,0.08906888023286723,0.23651666666666663,0.10329390848471465,153.0,271,0.05
200,0.4949365047713189,0.44108054055194246,-0.07206690254548082,-0.1303911086385442,0.302471,0.379724,0.0,0.011976047904191617,0.0,0.0,0.10220499177885801,0.2259,0.04268833290270435,130.0,271,0.05
