year,coop_Free,coop_State,between_group_selection_coeff,within_group_selection_coeff,fst_prosocial_mean,fst_cooperation_propensity,inter_band_violence_rate,cumulative_violence_rate,total_trade_volume,trade_volume,cumulative_trade_volume_per_band,mean_inter_band_trust,band_resource_gini,total_population,seed
50,0.47421381141877417,0.5227984295622313,0.0685678155275393,0.06136299420487734,0.200691,0.307943,0.0,0.02857142857142857,0.0,0.0,0.05479224584139342,0.2211,0.06686644185733037,143.0,42
100,0.49731935656145676,0.5018142018160662,0.13012778092457994,-0.00284001753975752,0.194307,0.265631,0.0,0.0547945205479452,0.0,0.0,0.05229082164335654,0.13553333333333334,0.07090502125440468,227.0,42
150,0.4850855217015406,0.4497827689518061,0.05386858219805872,-0.015924106388186247,0.220231,0.395712,0.0,0.06481481481481481,0.0,0.0,0.03224546358916253,0.20732,0.060491250293275955,440.0,42
200,0.4791705543580821,nan,0.1785832965166777,0.009129696373602251,0.227613,0.380108,0.0,0.03076923076923077,0.0,0.0,0.2662849717832535,0.2918733333333334,0.06612807849098457,412.0,42
250,0.47289664326675596,nan,-0.07643224601329898,0.06334036140846014,0.222279,0.305944,0.0,0.02107728337236534,28.85916542403598,28.85916542403598,0.21584853327317358,0.3211178571428572,0.08688609376160494,557.0,42
300,0.4715143176186979,nan,-0.1872307817207406,0.02774794646137531,0.229477,0.35408,0.0,0.017735334242837655,28.180958416270897,28.180958416270897,0.2512656402646565,0.3146305555555555,0.08421705244618405,645.0,42
350,0.45730029656635435,nan,0.05343583755523959,0.03389677416731481,0.250428,0.437463,0.0,0.016536118363794605,58.26055676971006,58.26055676971006,0.1891987338015922,0.32052575757575763,0.0724191173388895,778.0,42
400,0.4405468265398759,nan,0.05278146925594587,0.032025686521577924,0.321243,0.551835,0.0,0.012709416522241479,10.033333900973256,10.033333900973256,0.2080063072645171,0.3180615384615384,0.11135156217218212,1014.0,42
450,0.44115778965211044,nan,-0.0056130496446908165,0.06259742589931207,0.361332,0.538999,0.0,0.012504884720593983,118.48203827694188,118.48203827694188,0.21632257374704306,0.30501333333333336,0.09452325967165454,1108.0,42
500,nan,nan,0.023782364995311278,0.018349117063575254,0.36909,0.546147,0.038461538461538464,0.012220488819552781,99.11262994024378,99.11262994024378,0.1755091167421163,0.2870473684210526,0.09814237291505723,1556.0,42
50,0.5105157409718086,0.5293613329978943,0.1723383518575326,0.11403424585897795,0.102074,0.028602,0.0,0.0,0.0,0.0,0.06722587052773975,0.2607333333333333,0.06843745014507063,227.0,137
100,0.5164247309119128,0.5182196060579943,0.1286514937615727,-0.06376583225924853,0.158124,0.0316,0.0,0.0,0.0,0.0,0.07334312827604192,0.26180000000000003,0.10957959726580113,173.0,137
150,0.5270492631724928,0.515206487264112,0.23849777689473392,-0.002514198666663109,0.145118,0.103833,0.0,0.00847457627118644,0.0,0.0,0.09061929096056606,0.25301666666666667,0.06663161229366543,186.0,137
200,0.5284688286224246,0.527710153073001,0.38421874872368483,0.03612061163919568,0.25029,0.238037,0.0,0.0125,0.0,0.0,0.11789298490760672,0.248,0.07270508152624888,171.0,137
250,0.5243321352033705,0.5392613148095932,-0.4021452344077666,-0.08725571309950314,0.244411,0.230039,0.0,0.009708737864077669,5.116317710875158,5.116317710875158,0.12371132572932143,0.24928333333333333,0.10788769326746528,173.0,137
300,0.5441070811244944,0.5676263436062838,-0.23148610172179848,0.05559929914476425,0.255014,0.33658,0.0,0.012711864406779662,0.0,0.0,0.10706720801252655,0.21384999999999998,0.06345221288380021,215.0,137
350,0.5267583614209497,0.5694185351695207,0.04016694837990026,-0.04413435846190682,0.416245,0.365435,0.0,0.01090909090909091,0.0,0.0,0.11148135016578838,0.2259833333333333,0.04471702936224631,216.0,137
400,0.5347315648551991,0.5920813532093003,-0.06837283110395743,-0.0024267281845884517,0.336043,0.373494,0.0,0.01282051282051282,1.4907483977571931,1.4907483977571931,0.11726278922044071,0.22615,0.03537787288897554,251.0,137
450,0.44154724876705975,0.6000805228454611,0.0826902595732305,-0.032840813248939005,0.389489,0.598701,0.0,0.015873015873015872,0.0,0.0,0.07803502838618377,0.27612000000000003,0.13499843294509306,238.0,137
500,0.4567928995028147,0.6068979210705301,-0.17251395018374982,-0.07054765976271495,0.39177,0.589068,0.0,0.01511879049676026,11.83186753013933,11.83186753013933,0.08849759629000031,0.32568666666666674,0.06141180212155817,318.0,137
50,0.46309148806018563,0.45014286792562186,0.06415439173809932,0.0807381201974941,0.117855,0.038477,0.0,0.0,0.0,0.0,0.10399520635387913,0.30243333333333333,0.10574633686133206,207.0,271
100,0.43730181390359435,0.4493594952910952,0.38386626072272473,-0.20404436288327943,0.201916,0.236031,0.0,0.012345679012345678,0.0,0.0,0.10883955466992433,0.26665,0.05505231743440109,185.0,271
150,0.4417996250915433,0.4632402508743717,-0.13987301210267566,-0.08693219096136202,0.227505,0.259166,0.0,0.017391304347826087,0.0,0.0,0.10271988781849083,0.24783333333333335,0.07315075221171785,216.0,271
200,0.458922306861379,0.45636632148604817,-0.4141540541403198,-0.03600442150621459,0.20882,0.305637,0.0,0.012345679012345678,0.0,0.0,0.11637528455233202,0.24591666666666667,0.04778374468272739,179.0,271
250,0.4446917087690142,0.46356409792934106,-0.24958094120248442,-0.10708217560892447,0.241443,0.458948,0.0,0.014084507042253521,20.77201648087236,20.77201648087236,0.14726890296967002,0.2698833333333333,0.04215166763911826,254.0,271
300,0.43952653634708605,0.42263163776091706,0.04160765323255607,0.0373343359359715,0.257519,0.409069,0.0,0.012944983818770227,33.202634170718284,33.202634170718284,0.16510317222115567,0.34783,0.04230159595726257,265.0,271
350,0.43659266097503724,0.3869682996816332,-0.0555627924857493,0.08462903294863065,0.256454,0.460409,0.0,0.008830022075055188,0.0,0.0,0.3232588226488347,0.38858000000000004,0.02314866577609731,276.0,271
400,0.42094963661333695,0.3855880830352595,-0.20275538552833208,0.08110660828064763,0.324342,0.59043,0.0,0.006993006993006993,12.365560293149183,12.365560293149183,0.441665163350867,0.43362,0.0953229331589649,404.0,271
450,0.427718293727699,0.37583229219565734,-0.06778242347667088,0.0009351075157635382,0.31492,0.57826,0.0,0.0053475935828877,30.940034607537296,30.940034607537296,0.4133395108711457,0.47492666666666666,0.07498221988641474,517.0,271
500,0.27333254995194595,nan,-0.1369845930537944,0.023685141654898677,0.346776,0.587438,0.0,0.003835091083413231,18.55727212328476,18.55727212328476,0.3218046586049592,0.47832857142857144,0.09598927729124229,659.0,271
